iter	Quantile:alpha=0.75
0	0.2023387376
1	0.1962237366
2	0.1901348145
3	0.1843909753
4	0.1793975098
5	0.1747034888
6	0.1701621393
7	0.1653351698
8	0.1611961737
9	0.156760285
10	0.152836558
11	0.1490149702
12	0.1451252698
13	0.142198954
14	0.1391683839
15	0.1357004537
16	0.1321961983
17	0.1291649032
18	0.1265091323
19	0.1240236434
20	0.1211541041
21	0.118744138
22	0.1168321563
23	0.1149779449
24	0.1128494656
25	0.1110458392
26	0.1088468445
27	0.1070671311
28	0.1056083529
29	0.1042572528
30	0.1025269353
31	0.1006972265
32	0.09948450067
33	0.09829712718
34	0.09715272093
35	0.09602968359
36	0.09493588867
37	0.09387516099
38	0.09304889348
39	0.0921677589
40	0.09100218145
41	0.08984791048
42	0.08886311991
43	0.08811404537
44	0.0868464373
45	0.0858101753
46	0.0848018026
47	0.08412933436
48	0.0833236614
49	0.08248180025
50	0.08159610422
51	0.08086434606
52	0.08025657658
53	0.07955666135
54	0.07867610477
55	0.07810267956
56	0.07762629797
57	0.07699565733
58	0.0762882351
59	0.07586240205
60	0.07520867807
61	0.07474395512
62	0.07446410881
63	0.07416978626
64	0.07381869011
65	0.07335084304
66	0.07290798422
67	0.07262506158
68	0.07220393978
69	0.07184137581
70	0.07161221888
71	0.07126053991
72	0.07087160563
73	0.07050003537
74	0.0701445411
75	0.06995914106
76	0.06962255349
77	0.06926593272
78	0.06918214508
79	0.06878363209
80	0.06857708977
81	0.0683702683
82	0.06813526384
83	0.06795123237
84	0.06750522751
85	0.06716495345
86	0.06695358608
87	0.06675743264
88	0.06646450127
89	0.06619285296
90	0.06604228678
91	0.06579967013
92	0.06564015396
93	0.0653674929
94	0.06517524219
95	0.06515499426
96	0.06488664891
97	0.06471797891
98	0.0644521445
99	0.06416074048
100	0.06400212532
101	0.06382277496
102	0.0636678231
103	0.06358138485
104	0.06352379745
105	0.06334704675
106	0.06328907846
107	0.06317539073
108	0.0629996577
109	0.06288898162
110	0.06269016413
111	0.06251362325
112	0.06242987327
113	0.06230905336
114	0.06217297827
115	0.0620529878
116	0.06187615677
117	0.06180542954
118	0.06168110844
119	0.06164802936
120	0.06156002531
121	0.06149274742
122	0.06141304239
123	0.06130216216
124	0.06114030593
125	0.06104877767
126	0.06098335426
127	0.06087580986
128	0.06083472934
129	0.06072325191
130	0.06064308881
131	0.06055931168
132	0.06042963584
133	0.06038051448
134	0.06035213022
135	0.06030088737
136	0.06025697929
137	0.06014507624
138	0.06008464327
139	0.05998430116
140	0.05987274083
141	0.05974334332
142	0.05965586071
143	0.0594811376
144	0.05944494568
145	0.05926817376
146	0.05923631086
147	0.05917967734
148	0.05915720437
149	0.05912597375
150	0.05912058303
151	0.05905364498
152	0.05901942392
153	0.05894782536
154	0.0588044727
155	0.05876933095
156	0.05873419043
157	0.05865962968
158	0.05862827867
159	0.058598429
160	0.05855472728
161	0.05853097037
162	0.05846060495
163	0.05840756965
164	0.05837767139
165	0.05826190812
166	0.05821354322
167	0.0581486081
168	0.05811406183
169	0.05804589049
170	0.05792174802
171	0.05785572167
172	0.05780405492
173	0.05775185256
174	0.05770755811
175	0.05765134408
176	0.05758902541
177	0.05752078069
178	0.05745056597
179	0.05737832278
180	0.05732507124
181	0.05727572899
182	0.05725319293
183	0.05712684259
184	0.05700591748
185	0.05683470908
186	0.05677685372
187	0.056745594
188	0.05672517431
189	0.05660152483
190	0.05649764692
191	0.05636340331
192	0.05628504686
193	0.05620344472
194	0.05615396657
195	0.05611264488
196	0.05605947946
197	0.05601836096
198	0.05598851731
199	0.05589239227
200	0.05585830908
201	0.05583161025
202	0.05579769147
203	0.05577001894
204	0.05574103692
205	0.05570202704
206	0.05565110198
207	0.05559912481
208	0.05555617158
209	0.05546844845
210	0.05536800669
211	0.05532425957
212	0.05527691194
213	0.0552465223
214	0.05519174265
215	0.05514893991
216	0.05507226909
217	0.05502465202
218	0.05497905681
219	0.05494411075
220	0.05486781928
221	0.05474347674
222	0.0547157384
223	0.05464557283
224	0.05462267345
225	0.05459417317
226	0.05452677544
227	0.05449688184
228	0.05444435377
229	0.05441852812
230	0.05435187964
231	0.0542866869
232	0.05425711106
233	0.05416480866
234	0.05406669087
235	0.05398464401
236	0.05394477863
237	0.05390725241
238	0.05388435405
239	0.0538547049
240	0.05381978711
241	0.05366277098
242	0.05360519489
243	0.05356563866
244	0.05355750868
245	0.05350879744
246	0.05341591019
247	0.05338287196
248	0.0533556856
249	0.0533130813
250	0.05328878157
251	0.05324092381
252	0.05320756134
253	0.0531649163
254	0.05309575942
255	0.05297711182
256	0.05295695531
257	0.05292782919
258	0.05281709723
259	0.05279570641
260	0.05275475764
261	0.05269167771
262	0.05266545124
263	0.05262690897
264	0.05256692643
265	0.05254100979
266	0.05251582183
267	0.05247161285
268	0.05245150416
269	0.05243739118
270	0.0523963436
271	0.05236719211
272	0.05230875787
273	0.05229792015
274	0.05228410382
275	0.05226378368
276	0.05222638848
277	0.05221381158
278	0.05214976477
279	0.05207076162
280	0.05204231389
281	0.05199928089
282	0.05198885478
283	0.05195202126
284	0.05193524779
285	0.05180579449
286	0.05173953344
287	0.05172572771
288	0.05168168303
289	0.05166657381
290	0.05161828816
291	0.05159164342
292	0.05152751453
293	0.05148234861
294	0.05145654807
295	0.05144545305
296	0.05140076749
297	0.05138090537
298	0.05136078897
299	0.05129419
