iter	Passed	Remaining
0	42	12580
1	74	11144
2	105	10443
3	135	10037
4	165	9792
5	197	9664
6	227	9524
7	259	9478
8	289	9352
9	323	9395
10	357	9398
11	391	9388
12	427	9446
13	455	9307
14	485	9220
15	513	9113
16	542	9024
17	571	8949
18	601	8894
19	631	8834
20	662	8804
21	696	8801
22	724	8723
23	748	8602
24	793	8733
25	841	8867
26	870	8804
27	900	8750
28	943	8815
29	981	8834
30	1010	8766
31	1038	8699
32	1068	8642
33	1099	8600
34	1129	8552
35	1159	8501
36	1188	8446
37	1217	8395
38	1246	8340
39	1275	8293
40	1307	8261
41	1339	8228
42	1362	8145
43	1397	8129
44	1426	8083
45	1455	8037
46	1495	8051
47	1525	8011
48	1558	7982
49	1589	7949
50	1619	7907
51	1649	7865
52	1679	7827
53	1709	7787
54	1739	7749
55	1769	7709
56	1800	7675
57	1832	7644
58	1865	7618
59	1901	7605
60	1936	7587
61	1969	7559
62	1985	7467
63	2026	7474
64	2070	7484
65	2105	7463
66	2138	7437
67	2169	7401
68	2200	7366
69	2232	7336
70	2267	7314
71	2305	7300
72	2339	7274
73	2373	7249
74	2408	7226
75	2442	7199
76	2475	7168
77	2507	7135
78	2522	7055
79	2552	7019
80	2604	7041
81	2639	7017
82	2671	6984
83	2705	6956
84	2741	6933
85	2774	6904
86	2808	6876
87	2852	6871
88	2885	6841
89	2919	6811
90	2953	6782
91	2986	6751
92	3020	6722
93	3053	6691
94	3085	6657
95	3094	6576
96	3126	6543
97	3166	6527
98	3199	6495
99	3249	6498
100	3283	6469
101	3322	6449
102	3358	6423
103	3394	6397
104	3407	6327
105	3446	6307
106	3481	6279
107	3513	6246
108	3545	6212
109	3577	6178
110	3610	6146
111	3641	6113
112	3674	6080
113	3706	6046
114	3786	6091
115	3827	6070
116	3859	6036
117	3891	6001
118	3923	5968
119	3942	5913
120	3976	5882
121	4008	5848
122	4043	5819
123	4084	5796
124	4121	5770
125	4153	5736
126	4185	5701
127	4234	5689
128	4267	5656
129	4307	5632
130	4344	5605
131	4385	5581
132	4415	5544
133	4447	5510
134	4480	5476
135	4510	5438
136	4540	5401
137	4570	5365
138	4601	5329
139	4631	5293
140	4664	5259
141	4696	5225
142	4735	5198
143	4767	5165
144	4802	5133
145	4835	5100
146	4867	5065
147	4899	5031
148	4930	4996
149	4961	4961
150	4970	4905
151	4998	4866
152	5031	4834
153	5061	4798
154	5093	4765
155	5125	4731
156	5157	4697
157	5188	4662
158	5219	4628
159	5251	4595
160	5285	4563
161	5321	4533
162	5359	4504
163	5394	4473
164	5429	4441
165	5462	4409
166	5496	4377
167	5528	4344
168	5563	4312
169	5598	4281
170	5631	4248
171	5664	4215
172	5697	4182
173	5728	4148
174	5762	4116
175	5794	4082
176	5824	4047
177	5855	4013
178	5886	3979
179	5919	3946
180	5952	3913
181	5985	3880
182	6016	3846
183	6049	3813
184	6082	3780
185	6113	3747
186	6144	3712
187	6178	3680
188	6209	3646
189	6238	3611
190	6269	3577
191	6306	3547
192	6343	3516
193	6377	3484
194	6409	3451
195	6439	3416
196	6471	3383
197	6503	3350
198	6535	3316
199	6567	3283
200	6599	3250
201	6632	3217
202	6665	3184
203	6695	3151
204	6726	3117
205	6759	3084
206	6790	3050
207	6822	3017
208	6853	2984
209	6887	2951
210	6918	2918
211	6949	2884
212	6982	2851
213	7014	2818
214	7046	2785
215	7079	2752
216	7111	2719
217	7143	2687
218	7173	2653
219	7206	2620
220	7238	2587
221	7270	2554
222	7306	2522
223	7341	2490
224	7374	2458
225	7406	2425
226	7437	2391
227	7468	2358
228	7499	2325
229	7530	2291
230	7560	2258
231	7592	2225
232	7625	2192
233	7658	2160
234	7691	2127
235	7723	2094
236	7754	2061
237	7788	2028
238	7820	1996
239	7865	1966
240	7896	1933
241	7926	1899
242	7959	1867
243	7990	1833
244	8021	1800
245	8053	1767
246	8083	1734
247	8115	1701
248	8146	1668
249	8177	1635
250	8207	1602
251	8237	1569
252	8269	1536
253	8307	1504
254	8344	1472
255	8386	1441
256	8418	1408
257	8447	1375
258	8477	1341
259	8506	1308
260	8537	1275
261	8567	1242
262	8598	1209
263	8629	1176
264	8665	1144
265	8701	1112
266	8741	1080
267	8782	1048
268	8815	1015
269	8847	983
270	8880	950
271	8911	917
272	8945	884
273	8987	852
274	9022	820
275	9055	787
276	9089	754
277	9122	721
278	9152	688
279	9182	655
280	9214	623
281	9245	590
282	9276	557
283	9311	524
284	9345	491
285	9378	459
286	9410	426
287	9439	393
288	9469	360
289	9499	327
290	9529	294
291	9559	261
292	9590	229
293	9621	196
294	9649	163
295	9681	130
296	9715	98
297	9744	65
298	9773	32
299	9805	0
