deal_key,evaluation_date,buy_price,gm2,mark,model,generation,car_year,mileage,engine_cc,body_type,engine_type,transmission,drive_type,color,steering,door_num,keys_count,on_guarantee,car_category,total_car_state,transaction_group,transaction,is_mobile_purch,is_comtrade,branch_key,market_avg_price,market_ads_cnt,market_avg_mileage,has_price_quantiles,market_median_price_w,market_q1_price,market_q3_price
18be3e1d039f,2024-09-01 10:30:11.746,4800000.0,797124.0,Kia,Rio,"Rio, III",2014,168149.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
0b5ddbaf8ae0,2024-09-01 10:48:40.637,5705000.0,1028600.0,Toyota,Wigo,"Wigo, I Рестайлинг 2",2021,11420.0,1197.0,Хэтчбек,Бензиновый,АКПП,Передний,Белый,1,5.0,1.0,False,A1,3,purchase,Выкуп,False,False,966efc,,,,False,,,
f7efd8d5beeb,2024-09-01 10:56:11.269,1400000.0,340508.0,LADA (ВАЗ),Granta,"Granta, I",2014,136214.0,1600.0,Cедан,Бензиновый,МКПП,Передний,Серый,1,4.0,1.0,False,A2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
c8bf80fdcc00,2024-09-01 10:59:33.584,4300000.0,771400.0,Toyota,Corolla,"Corolla, X (E140, E150) Рестайлинг",2011,233608.0,1797.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
6d881154de68,2024-09-01 11:09:54.739,1400000.0,-93646.0,LADA (ВАЗ),2114,2114,2013,150663.0,1596.0,Cедан,Бензиновый,АКПП,Передний,Зеленый,1,4.0,1.0,False,B2,2,trade_in,Зачет,False,False,e730f9,,,,False,,,
1531a8cf45ae,2024-09-01 11:41:36.374,5800000.0,1154169.0,JAC,J7,"J7, I",2023,12379.0,1499.0,Лифтбэк,Бензиновый,АКПП,Передний,Белый,1,5.0,2.0,False,A1,3,trade_in,Зачет,False,False,e730f9,,,,False,,,
63b2f77c3ede,2024-09-01 11:43:42.678,7000000.0,867987.0,Mitsubishi,Eclipse Cross,Eclipse Cross,2018,61614.0,1499.0,Кроссовер,Бензиновый,АКПП,Полный,Серый,1,5.0,1.0,False,B2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
bd5f893b9742,2024-09-01 12:03:42.402,5100000.0,675225.0,LADA (ВАЗ),Vesta Cross,"Vesta, I",2021,81235.0,1774.0,Универсал,Бензиновый,МКПП,Передний,Синий,1,5.0,1.0,,B1,3,purchase,Выкуп,False,False,d65704,,,,False,,,
126abf68c49c,2024-09-01 12:33:26.468,6400000.0,623849.0,Hyundai,Tucson,"Tucson, II",2012,143667.0,1998.0,Кроссовер,Бензиновый,АКПП,Полный,Серый,1,5.0,1.0,False,B2,2,trade_in,Зачет,False,False,e730f9,,,,False,,,
e5508605a8f5,2024-09-01 12:40:56.163,2500000.0,536266.0,Renault Samsung,QM5,QM5,2013,284263.0,1998.0,Кроссовер,Бензиновый,АКПП,Передний,Белый,1,5.0,1.0,False,C2,2,purchase,Выкуп,False,False,e730f9,,,,False,,,
fc8275a0e870,2024-09-01 12:52:15.320,3700000.0,863266.0,SsangYong,Actyon,"Actyon, II",2012,172503.0,1998.0,Кроссовер,Бензиновый,МКПП,Полный,Серый,1,5.0,1.0,False,A2,3,purchase,Выкуп,False,False,e730f9,,,,False,,,
44002e70976d,2024-09-01 13:08:05.962,2200000.0,255981.0,SsangYong,Kyron,"Kyron, I",2006,241616.0,2696.0,Кроссовер,Дизельный,АКПП,Полный,Белый,1,5.0,1.0,False,B1,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
eda14ae01f66,2024-09-01 13:11:02.335,4700000.0,768550.0,Renault,Sandero,"Sandero, II",2018,61566.0,1598.0,Хэтчбек,Бензиновый,АКПП,Передний,Красный,1,5.0,2.0,False,B2,3,purchase,Выкуп,False,False,4a824f,,,,False,,,
10e3cd4bcf4c,2024-09-01 13:25:40.857,7500000.0,846250.0,Hyundai,Tucson,"Tucson, III Рестайлинг",2019,65651.0,1999.0,Кроссовер,Бензиновый,АКПП,Передний,Черный,1,5.0,1.0,False,B2,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
5deeebed5f85,2024-09-01 13:39:08.902,1705000.0,376528.0,Mazda,3,"3, I (BK)",2003,235604.0,1600.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,C2,2,purchase,Выкуп,False,False,346223,,,,False,,,
fdd9a596df97,2024-09-01 14:31:49.366,7700000.0,984957.0,Kia,K3,"K3, II Рестайлинг",2021,38797.0,1598.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,2.0,False,B2,3,purchase,Выкуп,False,False,966efc,,,,False,,,
d430258a4a2d,2024-09-01 14:48:39.308,5500000.0,598472.0,Kia,Soul,"Soul, I Рестайлинг",2014,146186.0,1591.0,Кроссовер,Бензиновый,АКПП,Передний,Серый,1,5.0,1.0,False,B2,3,purchase,Выкуп,False,False,e730f9,,,,False,,,
3aec87e7619b,2024-09-01 15:15:31.979,5500000.0,592900.0,Kia,Cerato,"Cerato, III",2013,251891.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,1.0,False,C2,3,trade_in,Зачет,False,False,346223,,,,False,,,
237e3e4b743e,2024-09-01 15:29:07.686,8000000.0,592500.0,Hyundai,Elantra,"Elantra, VII (CN7)",2022,39636.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Белый,1,4.0,2.0,False,A2,3,trade_up,Зачет на новое авто,False,False,4a824f,,,,False,,,
5c6c6d54a4fc,2024-09-01 15:38:18.151,4500000.0,619300.0,Chevrolet,Cobalt,"Cobalt, II Рестайлинг",2021,104447.0,1485.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,C2,2,trade_in,Зачет,False,False,4a824f,,,,False,,,
cae5a1e98cdb,2024-09-01 15:42:57.050,3000000.0,626718.0,Chevrolet,Aveo,"Aveo, II",2014,183975.0,1596.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,1.0,False,B1,1,purchase,Выкуп,False,False,966efc,,,,False,,,
e514c248269e,2024-09-01 15:46:39.809,4200000.0,678228.0,Chevrolet,Cruze,"Cruze, I Рестайлинг",2012,93473.0,1796.0,Cедан,Бензиновый,АКПП,Передний,Белый,1,4.0,1.0,False,A2,3,purchase,Выкуп,False,False,e730f9,,,,False,,,
c47e6595bc29,2024-09-01 15:46:50.956,3800000.0,289979.0,Ravon,R4,R4,2018,76839.0,1485.0,Cедан,Бензиновый,АКПП,Передний,Белый,1,4.0,1.0,False,B2,3,trade_up,Зачет на новое авто,False,False,082c55,,,,False,,,
8f1847f8f7c5,2024-09-01 16:40:04.633,955000.0,259171.0,Mercedes-Benz,A-Класс,"A-Класс, I (W168)",1999,238148.0,1598.0,Хэтчбек,Бензиновый,АКПП,Передний,Синий,1,5.0,1.0,False,C2,1,trade_in,Зачет,False,False,966efc,,,,False,,,
585bb63ba593,2024-09-01 17:11:21.653,7000000.0,1062900.0,Hyundai,Sonata,"Sonata, VII (LF) Рестайлинг",2017,89865.0,2359.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,1.0,False,B1,2,purchase,Выкуп,False,False,d65704,,,,False,,,
ead197e4f774,2024-09-01 17:46:50.661,4500000.0,511000.0,Nissan,Teana,"Teana, II",2010,246340.0,2496.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
1f2eadd34157,2024-09-01 17:54:01.195,3600000.0,827004.0,Kia,Forte,"Forte, I",2010,173753.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,082c55,,,,False,,,
113243836a52,2024-09-01 18:23:09.114,6500000.0,855000.0,Haval,M6,M6,2024,2299.0,1497.0,Кроссовер,Бензиновый,АКПП,Передний,Белый,1,5.0,2.0,False,A1,3,purchase,Com-trade,False,False,d65704,,,,False,,,
c93883508706,2024-09-02 09:38:51.550,3000000.0,259146.0,Ford,Explorer,"Explorer, III",2004,129783.0,3992.0,Внедорожник,Бензиновый,АКПП,Полный,Белый,1,5.0,1.0,False,B2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
4431e9f2a3b9,2024-09-02 10:44:17.799,4200000.0,495700.0,Chevrolet,Cobalt,"Cobalt, II Рестайлинг",2021,208073.0,1485.0,Cедан,Бензиновый,МКПП,Передний,Серый,1,4.0,2.0,False,B1,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
e43537c7c8cc,2024-09-02 11:21:12.429,5500000.0,52008.0,Hyundai,i20,"i20, III",2023,39701.0,1368.0,Хэтчбек,Бензиновый,АКПП,Передний,Красный,1,5.0,1.0,False,B1,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
5d90d7d9d0bd,2024-09-02 11:35:03.590,3100000.0,616673.0,Kia,Cerato,"Cerato, II",2011,287069.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Белый,1,4.0,1.0,False,C2,1,purchase,Выкуп,False,False,4a824f,,,,False,,,
925f6cd4829c,2024-09-02 11:38:05.400,4400000.0,478115.0,Hyundai,Sonata,"Sonata, VI (YF)",2010,316904.0,1998.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,C2,2,purchase,Выкуп,False,False,e730f9,,,,False,,,
a8a270550b90,2024-09-02 12:28:40.955,1600000.0,354623.0,SsangYong,Kyron,"Kyron, I Рестайлинг",2007,501898.0,2290.0,Внедорожник,БензинГаз,МКПП,Полный,Белый,1,5.0,1.0,False,C2,1,purchase,Выкуп,False,False,4a824f,,,,False,,,
57fec2863c35,2024-09-02 12:58:40.710,9300000.0,1480600.0,Kia,Ceed SW,Ceed SW,2024,3670.0,1591.0,Универсал,Бензиновый,АКПП,Передний,Серый,1,5.0,2.0,True,A1,3,purchase,Выкуп,False,False,e730f9,,,,False,,,
1c894d2b7435,2024-09-02 14:08:37.601,3205000.0,602502.0,LADA (ВАЗ),Granta,"Granta, I Рестайлинг",2020,39552.0,1596.0,Cедан,Бензиновый,АКПП,Передний,Белый,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,966efc,,,,False,,,
adddbbbab3c9,2024-09-02 14:11:18.762,2900000.0,573836.0,Toyota,Camry,"Camry, V (XV30)",2002,459563.0,2400.0,Cедан,БензинГаз,АКПП,Передний,Серый,1,4.0,1.0,False,C2,1,purchase,Выкуп,False,False,4a824f,,,,False,,,
97dfdb86746b,2024-09-02 14:15:38.604,7505000.0,-112793.0,Kia,Sorento,"Sorento, II Рестайлинг",2014,195660.0,2359.0,Кроссовер,БензинГаз,АКПП,Полный,Черный,1,5.0,1.0,False,B1,2,trade_in,Зачет,False,False,966efc,,,,False,,,
538e7867f49f,2024-09-02 14:25:02.492,3400000.0,391204.0,Kia,Cerato,"Cerato, III",2014,284945.0,1591.0,Cедан,Бензиновый,МКПП,Передний,Белый,1,4.0,1.0,False,C2,2,trade_in,Зачет,False,False,d65704,,,,False,,,
c0eb37de1afa,2024-09-02 14:45:37.547,3500000.0,-33052.0,Chevrolet,Cruze,"Cruze, I",2012,324841.0,1796.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,4.0,1.0,False,B1,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
4f810742221b,2024-09-02 14:47:47.326,3800000.0,569300.0,Hyundai,Accent,"Accent, IV",2013,188152.0,1591.0,Хэтчбек,Бензиновый,АКПП,Передний,Черный,1,5.0,1.0,False,B2,2,trade_in,Зачет,False,False,d65704,,,,False,,,
921fff183d32,2024-09-02 15:26:31.598,4500000.0,724598.0,Chevrolet,Cobalt,"Cobalt, II Рестайлинг",2020,101883.0,1485.0,Cедан,Бензиновый,АКПП,Передний,Черный,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,d65704,,,,False,,,
928b9c56e05f,2024-09-02 15:31:33.942,3000000.0,438796.0,LADA (ВАЗ),Granta,"Granta, I Рестайлинг",2019,93229.0,1596.0,Cедан,БензинГаз,АКПП,Передний,Белый,1,4.0,1.0,False,B2,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
c102652dfd68,2024-09-02 15:51:40.479,6805000.0,821600.0,Hyundai,Accent,"Accent, V Рестайлинг",2021,11753.0,1591.0,Cедан,Бензиновый,АКПП,Передний,Синий,1,4.0,1.0,False,B2,3,trade_up,Зачет на новое авто,False,False,346223,,,,False,,,
9636a35f70ac,2024-09-02 15:52:35.313,4800000.0,510771.0,Toyota,Corolla,"Corolla, X (E140, E150) Рестайлинг",2011,235382.0,1797.0,Cедан,Бензиновый,АКПП,Передний,Серый,1,5.0,1.0,False,B1,2,trade_in,Зачет,False,False,4a824f,,,,False,,,
e75f7d658014,2024-09-02 15:58:40.007,3000000.0,-334008.0,LADA (ВАЗ),Granta,"Granta, I Рестайлинг",2019,95282.0,1596.0,Cедан,БензинГаз,АКПП,Передний,Белый,1,4.0,1.0,False,B1,2,purchase,Выкуп,False,False,4a824f,,,,False,,,
